benchmark_set,qid,hop_count,gold_documents_count,gold_chunks_count,gold_spans_count,spans_verbatim_verified,references_doc034,references_doc086,contamination_flag,question_excerpt
dev,Q055,1,1,1,1,True,False,False,CLEAN,《中华人民共和国食品安全法实施条例》在2019年全面修订前，于哪一年根据国务院决定进行了局部修订修正？
dev,Q056,2,1,2,2,True,False,False,CLEAN,在2022年3月1日《医师法》施行前已经取得执业医师资格或证书的人员，其证书在新法施行后是否继续有效？有何过渡规定？
dev,Q057,1,1,1,1,True,False,False,CLEAN,根据《食品安全法》第六十七条，预包装食品的包装上应当标明哪些法定事项？对于营养成分强制标注有何法定例外？
dev,Q058,1,1,1,1,True,False,False,CLEAN,根据《药品管理法》，在中国境内未注册的药品原则上禁止进口调配，但对临床急需少量药品有何特别审批例外？
dev,Q059,2,1,2,2,True,False,False,CLEAN,根据《疫苗管理法》，预防接种异常反应的法定构成要件是什么？属于受种者偶合发病的情况是否享受异常反应补偿？
dev,Q060,2,1,2,2,True,False,False,CLEAN,传染病暴发时地方政府采取紧急控制措施需履行何种报批程序？对大中城市或跨省疫区实施封锁的法定决定权限归谁？
dev,Q061,1,1,1,1,True,False,False,CLEAN,根据《突发公共卫生事件应急条例》，国家突发公共卫生事件应急预案由哪个部门制定并报谁批准？
dev,Q062,1,1,1,1,True,False,False,CLEAN,从事计划生育技术服务的机构开展计划生育手术，其从事人员必须具备什么法定资质？
dev,Q063,1,1,1,1,True,False,False,CLEAN,根据《反兴奋剂条例》，反兴奋剂目录由哪些部门负责制定并定期调整公布？
dev,Q064,2,2,2,2,True,False,False,CLEAN,《母婴保健法实施办法》的母法渊源是什么？准备结婚的男女双方进行婚前医学检查后医疗机构应当出具何种证明？
dev,Q065,2,2,2,2,True,False,False,CLEAN,根据《乡村医生从业管理条例》，乡村医生执业注册的执业范围有何地域限制？与执业医师独立开办个体诊所有何年限差别？
dev,Q066,2,2,2,2,True,False,False,CLEAN,卫生部关于中医执业的批复中，非医疗机构使用医疗器械开展中医治疗推拿活动应如何定性？应依照哪部法规处罚？
dev,Q067,1,1,1,1,True,False,False,CLEAN,《国务院关于加强食品等产品安全监督管理的特别规定》中，生产者发现产品存在安全隐患后应当履行什么主动报告与召回程序？
dev,Q068,2,2,2,2,True,False,False,CLEAN,《残疾预防和残疾人康复条例》关于康复机构的专业技术人员配备有何规范？如何保障残疾人基本康复服务？
dev,Q069,1,1,1,1,True,False,False,CLEAN,根据修改后的《人口与计划生育法》，国家在生育支持方面对符合政策生育的夫妻规定了哪些奖励假政策？
dev,Q070,2,2,2,2,True,False,False,CLEAN,《流动人口计划生育工作条例》对流动人口计划生育服务管理采取何种管理体制？户籍地与现居住地如何协作？
dev,Q071,2,2,2,2,True,False,False,CLEAN,根据《护士条例》，医疗机构使用未取得护士执业证书的人员从事诊疗技术规范护理工作的，应按哪部法规追责？
dev,Q072,2,1,2,2,True,False,False,CLEAN,《人体器官移植条例》对买卖人体器官有何禁止性要求？活体器官捐献的接收人资格有何法定例外限制？
dev,Q073,2,1,2,2,True,False,False,CLEAN,国务院《医疗机构管理条例》自哪年哪月起正式施行？同时废止了政务院1951年发布的什么暂行条例？
dev,Q074,1,1,1,1,True,True,False,CONTAMINATED_DOC034,根据《医疗器械监督管理条例》，我国对医疗器械产品实行分类分级管理，第一类、第二类和第三类分别实行何种管理体制？
dev,Q075,1,1,1,1,True,False,False,CLEAN,根据《学校卫生工作条例》，普通学校设立卫生室和配备专职卫生技术人员的学生人数标准是多少？
dev,Q076,3,3,3,3,True,False,False,CLEAN,母婴保健法实施中经产前诊断发现胎儿有严重缺陷时，医师出具医学意见终止妊娠的法定条件是什么？对实施机构和医师资质有何联动要求？
dev,Q077,1,1,1,1,True,False,False,CLEAN,卫生健康等行政执法机关在查处违法行为过程中发现涉嫌构成犯罪的，应当在决定批准之日起几日内向同级公安机关移送案件？
dev,Q078,2,2,2,2,True,False,False,CLEAN,《国内交通卫生检疫条例》公布施行后，废止了铁道部哪部1992年的旧管理办法？其制定上位法依据是哪部？
dev,Q079,2,1,2,2,True,False,False,CLEAN,《食盐加碘消除碘缺乏危害管理条例》何时起施行？同时废止了哪部国务院批转的旧办法？
dev,Q080,1,1,1,1,True,False,False,CLEAN,根据《国境卫生检疫法》，出入境检验检疫中对患有鼠疫、霍乱等检疫传染病的人员，海关应当采取何种法定强制措施？
dev,Q081,2,2,2,2,True,False,False,CLEAN,卫生部关于眼科门诊部设置审批批复中，设立独立眼科门诊部必须依照哪部行政法规办理执业登记？
dev,Q082,3,3,3,3,True,False,False,CLEAN,乡村医生或医师在农村地区设立个体诊所，必须同时满足《医疗机构管理条例》与《医师法》的哪些交叉门槛条件？
dev,Q083,2,2,2,2,True,False,False,CLEAN,《尘肺病防治条例》关于尘肺病患者劳动能力鉴定与职业病防治法中的工伤保障待遇是如何协同衔接的？
dev,Q084,1,1,1,1,True,False,False,CLEAN,根据《中华人民共和国献血法》，国家提倡的健康公民自愿献血年龄范围是多少？每次献血量的法定量是多少？
dev,Q085,2,2,2,2,True,False,False,CLEAN,卫生健康委关于医疗美容的批复中，使用超声刀、水光针等开展有创或穿透性操作属于什么性质？生活美容院擅自开展如何定性？
dev,Q086,1,1,1,1,True,False,False,CLEAN,根据《公共场所卫生管理条例》，公共场所直接为顾客服务的人员上岗前必须履行什么体检手续？
dev,Q087,3,3,3,3,True,False,False,CLEAN,《医疗用毒性药品管理办法》依据药品管理法制定，对毒性药品的仓储保管和医师处方调配有何特别安全防范要求？
dev,Q088,2,2,2,2,True,False,False,CLEAN,卫生部关于取得助产士资格人员能否直接认定执业医师资格的批复作出了何种权威法律认定？
dev,Q089,3,3,3,3,True,False,False,CLEAN,在专项整治批复中，非法组织他人卖血、非法采集血液构成犯罪的，如何与医疗机构管理条例的行政处罚衔接？
dev,Q090,2,2,2,2,True,False,False,CLEAN,卫生健康委关于出具医学诊断证明批复中，独立出具临床医学诊断结论证明必须具备什么资质？实习生能否出具？
dev,Q091,2,2,2,2,True,False,False,CLEAN,卫生部关于超范围执业认定的批复中，医师跨专业执业类别（如内科医师从事开腹手术）擅自开展活动如何定性处罚？
dev,Q092,2,2,2,2,True,False,False,CLEAN,在打击非法行医专项行动批复中，养生保健机构使用“中医治疗”、“针灸刺血”等医疗术语招揽并开展有偿技术服务如何认定？
dev,Q093,1,1,1,1,True,False,False,CLEAN,关于住院医师规范化培训期间执业注册批复中，已取得执业医师证书的规培学员在培训基地的执业范围和处方权如何认定？
dev,Q094,2,2,2,2,True,False,False,CLEAN,关于中医类别骨伤科副主任医师开展现代西医骨科开放性手术的批复中，执行此类跨专业手术需要经过何种审批与考核？
dev,Q095,2,2,2,2,True,False,False,CLEAN,卫生部关于乡村医生从业管理条例实施问题的批复中，乡村医生能否在乡镇卫生院或城镇私自设立个人诊所独立接诊？
dev,Q096,2,2,2,2,True,False,False,CLEAN,取得医师资格证书但尚未办理执业注册手续的人员，私自开诊行医接诊患者的，在法律上应如何定性？
dev,Q097,2,2,2,2,True,False,False,CLEAN,卫生部关于医疗广告审查批复中，医疗机构发布含有治愈率100%或保证治愈等保证性承诺的医疗广告应如何处理？
dev,Q098,2,2,2,2,True,False,False,CLEAN,关于未取得《医疗机构执业许可证》的个人或机构擅自发布医疗广告的，应当由哪个部门依据什么原则进行查处？
dev,Q099,2,2,2,2,True,False,False,CLEAN,临床类别（西医）执业医师在医院开具中成药或中药饮片处方，需要满足什么法定培训条件？
dev,Q100,2,2,2,2,True,False,False,CLEAN,卫生健康委批复中，医疗机构未经卫生行政部门批准擅自设立门诊部或者组织巡回义诊并收费的如何处理？
dev,Q101,2,2,2,2,True,False,False,CLEAN,非医疗机构打着“老中医祖传秘方”旗号对就诊者实施把脉问诊并自制配制中药销售收受费用的应如何处理？
dev,Q102,1,1,1,1,True,False,False,CLEAN,卫生部关于农村非法行医监督工作批复中，对于集市上无固定场所流动拔牙、卖药行医的游医假医，取证和管辖原则是什么？
dev,Q103,2,2,2,2,True,False,False,CLEAN,根据卫生部批复与医师法，执业助理医师能否单独作为主要负责人申请设置个体诊所并独立开展执业？
dev,Q104,2,2,2,2,True,False,False,CLEAN,卫生健康委关于康复按摩活动定性的批复中，非医疗机构开展盲人保健按摩与以疾病康复治疗为目的的医疗性推拿有何法定边界？
dev,Q105,2,2,2,2,True,False,False,CLEAN,取得合法医师执业证书的医师在未注册的个人家中擅自接诊病人致人死亡的，在适用法律上如何定性？
dev,Q106,2,2,2,2,True,False,False,CLEAN,国家中医药管理局批复中，综合医院临床科室西医执业医师开具中成药与直接开具中药饮片配方的资质要求有何不同？
dev,Q107,2,2,2,2,True,False,False,CLEAN,卫生部关于医疗机构执业登记批复中，医疗机构设立非独立法人的门诊部等分支机构，其执业登记如何办理？
dev,Q108,3,3,3,3,True,False,False,CLEAN,妇幼保健机构开展乳腺恶性肿瘤根治切除等外科手术项目，在医疗机构执业科目核准上必须满足什么审批手续？
dev,Q109,2,2,2,2,True,False,False,CLEAN,卫生部与药监局批复中，卫生健康行政部门与药品监督管理部门对医疗机构药房药品管理的职责分工如何划分？
dev,Q110,1,1,1,1,True,False,False,CLEAN,根据卫生部关于医疗机构命名批复，医疗机构通用名称中能否随意冠以“中国”、“中华”、“国家”等字样？由哪级审批？
dev,Q111,2,2,2,2,True,False,False,CLEAN,正规医学院校毕业生在医疗机构指导医师带教下从事试用期临床医疗活动，发生医疗差错时是否属于非法行医？
dev,Q112,1,1,1,1,True,False,False,CLEAN,卫生部批复中，普通消毒产品（如“消字号”抗抑菌制剂）在标签说明书上标示疾病治疗功效的，应如何定性查处？
dev,Q113,2,2,2,2,True,False,False,CLEAN,卫生部关于零售药店中设立诊所“坐堂医”批复中，零售药店开办诊所必须履行什么许可手续？能否混淆营业场所？
dev,Q114,2,2,2,2,True,False,False,CLEAN,卫生健康委批复中，开展产前超声筛查与正式产前诊断技术服务在资质准入上有何严格区别？
dev,Q115,2,2,2,2,True,False,False,CLEAN,卫生部关于中医类别医师从事急救工作的批复中，中医医师在院前急救或急诊抢救生命时使用西医现代复苏抢救技术的合法性如何界定？
dev,Q116,3,3,3,3,True,False,False,CLEAN,卫生部关于非法行医批复中，未取得执业许可证擅自营业且无证行医致人严重伤害的，行政责任与刑事责任如何追究？
dev,Q117,2,2,2,2,True,False,False,CLEAN,卫生部关于医技人员出具检查报告批复中，检验技师与影像技师能否独立出具并签署疾病的最终临床诊断意见？
dev,Q118,2,2,2,2,True,False,False,CLEAN,关于普通外科执业医师能否独立出具B超超声检查诊断报告的批复中，医师跨专业出具超声报告的资质要求是什么？
dev,Q119,3,3,3,3,True,True,False,CONTAMINATED_DOC034,商业机构使用取得二类医疗器械注册证的红外线治疗仪对顾客开展以治病为目的的理疗收费活动，如何联动定性查处？
dev,Q120,2,2,2,2,True,False,False,CLEAN,国家卫生健康委关于实施细则批复中，非法行医案件中没收违法所得时，“诊疗活动累计收入”的具体核算范围包括哪些？
holdout1,CONF_Q001,1,1,1,1,True,False,False,CLEAN,根据《中华人民共和国食品安全法实施条例》，食品安全监督管理部门应当对企业食品安全管理人员进行何种考核？
holdout1,CONF_Q002,1,1,1,1,True,False,False,CLEAN,根据《病原微生物实验室生物安全管理条例》，保藏机构储存、提供病原微生物菌（毒）种和样本，是否可以收取费用？
holdout1,CONF_Q003,1,1,1,1,True,False,False,CLEAN,根据《中华人民共和国疫苗管理法》，疾病预防控制机构、接种单位、医疗机构未按照规定报告疑似预防接种异常反应、疫苗安全事件等，或者未按照规定对疑似预防接种异常反应组织调查、诊断等的，由哪个部门责令改正并给
holdout1,CONF_Q004,1,1,1,1,True,False,False,CLEAN,根据《突发公共卫生事件应急条例》，对传染病暴发、流行区域内流动人口，突发事件发生地的县级以上地方人民政府应当做好哪些工作？
holdout1,CONF_Q005,1,1,1,1,True,False,False,CLEAN,根据《护士条例》，护士在执业活动中发生自然灾害、公共卫生事件等严重威胁公众生命健康的突发事件，不服从安排参加医疗救护的，由县级以上地方人民政府卫生主管部门依据职责分工责令改正，给予警告；情节严重的，暂
holdout1,CONF_Q006,1,1,1,1,True,False,False,CLEAN,根据《医疗机构管理条例实施细则》，医疗机构向原登记机关管辖区域外迁移的，应当经过哪些程序才能向迁移目的地的卫生行政部门申请办理执业登记？
holdout1,CONF_Q007,1,1,1,1,True,False,False,CLEAN,根据《医疗废物管理条例》，县级以上人民政府环境保护行政主管部门违反本条例的规定发给医疗废物集中处置单位经营许可证的，应当如何处理？
holdout1,CONF_Q008,1,1,1,1,True,False,False,CLEAN,根据《中华人民共和国疫苗管理法》，疫苗上市许可持有人、疾病预防控制机构、接种单位发现存在或者疑似存在质量问题的疫苗时，不得有哪些行为？
holdout1,CONF_Q009,1,1,1,1,True,False,False,CLEAN,根据《中华人民共和国母婴保健法实施办法》，进行胎儿性别鉴定两次以上的或者以营利为目的进行胎儿性别鉴定的，除由卫生行政部门给予警告、责令停止违法行为外，还会受到什么处罚？
holdout1,CONF_Q010,1,1,1,1,True,False,False,CLEAN,根据《病原微生物实验室生物安全管理条例》，出入境检验检疫机构、医疗卫生机构、动物防疫机构在实验室开展检测、诊断工作时，发现高致病性病原微生物或者疑似高致病性病原微生物，需要进一步从事这类高致病性病原微
holdout1,CONF_Q011,1,1,1,1,True,False,False,CLEAN,根据《中华人民共和国食品安全法实施条例》，特殊医学用途配方食品中的特定全营养配方食品应当通过什么渠道向消费者销售？
holdout1,CONF_Q012,1,1,1,1,True,False,False,CLEAN,根据《乡村医生从业管理条例》，对具有乡村医生证书但不符合第十条规定条件的乡村医生，经培训但考试不合格的，县级人民政府卫生行政主管部门应当如何处理？
holdout1,CONF_Q013,1,1,1,1,True,False,False,CLEAN,根据《中华人民共和国基本医疗卫生与健康促进法》，需要实施手术、特殊检查、特殊治疗时，医疗卫生人员应当如何向患者说明并取得同意？
holdout1,CONF_Q014,1,1,1,1,True,False,False,CLEAN,根据《中华人民共和国食品安全法》，屠宰畜、禽的检验规程由哪些部门制定？
holdout1,CONF_Q015,1,1,1,1,True,False,False,CLEAN,根据《麻醉药品和精神药品管理条例》，违反本条例的规定，致使麻醉药品和精神药品流入非法渠道造成危害，尚不构成犯罪的，由县级以上公安机关处以什么罚款？
holdout1,CONF_Q016,1,1,1,1,True,False,False,CLEAN,根据《中华人民共和国传染病防治法》，国家、省级疾病预防控制机构负责对传染病发生、流行以及分布进行监测，对重大传染病流行趋势进行预测，提出预防控制对策，并参与并指导对暴发的疫情进行调查处理，开展传染病病
holdout1,CONF_Q017,1,1,1,1,True,False,False,CLEAN,根据《血吸虫病防治条例》，血吸虫病防治地区县级以上地方人民政府应当如何安排血吸虫病防治经费和基本建设投资？
holdout1,CONF_Q018,1,1,1,1,True,False,False,CLEAN,根据《医疗纠纷预防和处理条例》，医患双方选择协商解决医疗纠纷时，每方代表人数最多不超过多少人？
holdout1,CONF_Q019,1,1,1,1,True,False,False,CLEAN,根据《国内交通卫生检疫条例》，在非检疫传染病疫区的交通工具上发现检疫传染病病人、病原携带者、疑似检疫传染病病人时，交通工具负责人未依照本条例规定采取措施的，由哪些部门责令改正、给予警告并处罚款？
holdout1,CONF_Q020,1,1,1,1,True,False,False,CLEAN,根据《血吸虫病防治条例》，血吸虫病防治地区的医疗机构、疾病预防控制机构、动物防疫监督机构和植物检疫机构应当定期对其工作人员进行什么？
holdout1,CONF_Q021,1,1,1,1,True,False,False,CLEAN,根据《中华人民共和国疫苗管理法》，严重违反药品相关质量管理规范的，药品监督管理部门应当采取什么措施？
holdout1,CONF_Q022,1,1,1,1,True,False,False,CLEAN,根据《麻醉药品和精神药品管理条例》，药品生产企业需要以第二类精神药品为原料生产普通药品的，应当将年度需求计划报哪一部门，并向哪些企业购买？
holdout1,CONF_Q023,1,1,1,1,True,False,False,CLEAN,根据《计划生育技术服务管理条例》，乡级计划生育技术服务机构申请开展输卵（精）管结扎术、早期人工终止妊娠术的，必须具备什么条件？
holdout1,CONF_Q024,1,1,1,1,True,False,False,CLEAN,根据《中华人民共和国食品安全法》，食品生产经营者对依照本法规定实施的检验结论有异议的，可以自收到检验结论之日起几个工作日内向哪个部门提出复检申请？
holdout1,CONF_Q025,1,1,1,1,True,False,False,CLEAN,根据《医疗废物管理条例》，转让、买卖医疗废物，违法所得5000元以上的，应如何处罚？
holdout1,CONF_Q026,1,1,1,1,True,False,False,CLEAN,根据《中华人民共和国国境卫生检疫法》，国境口岸卫生监督员在执行任务时，有权对哪些对象进行卫生监督和技术指导，并对什么情况提出改进意见？
holdout1,CONF_Q027,1,1,1,1,True,False,False,CLEAN,根据《放射性同位素与射线装置安全和防护条例》，县级以上人民政府生态环境主管部门向不符合本条例规定条件的单位颁发许可证或者批准不符合本条例规定条件的单位进口、转让放射性同位素的，对直接负责的主管人员和其
holdout1,CONF_Q028,1,1,1,1,True,False,False,CLEAN,根据《中华人民共和国精神卫生法》，心理咨询人员发现接受咨询的人员可能患有精神障碍的，应当如何做？
holdout1,CONF_Q029,1,1,1,1,True,False,False,CLEAN,根据《中华人民共和国职业病防治法》，对产生严重职业病危害的作业岗位，应当在其醒目位置设置什么？警示说明应当载明哪些内容？
holdout1,CONF_Q030,1,1,1,1,True,False,False,CLEAN,根据《中华人民共和国生物安全法》，经评估为生物安全高风险的人员、运输工具、货物、物品等，应当从何处进境，并采取何种措施？
holdout1,CONF_Q031,1,1,1,1,True,False,False,CLEAN,根据《医疗机构管理条例实施细则》，申请设置门诊部、诊所、卫生所、医务室、卫生保健所、卫生站、村卫生室（所）、护理站等医疗机构的，设置可行性研究报告内容可以如何处理？
holdout1,CONF_Q032,1,1,1,1,True,False,False,CLEAN,根据《中华人民共和国食品安全法》，进口商在什么情况下应当立即停止进口，并依照本法第六十三条的规定召回？
holdout1,CONF_Q033,1,1,1,1,True,False,False,CLEAN,根据《计划生育技术服务管理条例》，计划生育行政部门、卫生行政部门违反规定批准不具备规定条件的机构开展与计划生育有关的临床医疗服务项目，或者不履行监督职责，或者发现违法行为不予查处，导致计划生育技术服务
holdout1,CONF_Q034,1,1,1,1,True,False,False,CLEAN,根据《中华人民共和国食品安全法》，食品经营者履行了进货查验等义务，有充分证据证明其不知道所采购的食品不符合食品安全标准，并能如实说明其进货来源的，可以免予处罚，但应当依法对其不符合食品安全标准的食品采
holdout1,CONF_Q035,1,1,1,1,True,False,False,CLEAN,根据《国务院关于加强食品等产品安全监督管理的特别规定》，出口产品的生产经营者逃避产品检验或者弄虚作假的，应如何处罚？
holdout1,CONF_Q036,1,1,1,1,True,False,False,CLEAN,根据《中华人民共和国食品安全法》，保健食品、特殊医学用途配方食品、婴幼儿配方乳粉的注册人或者备案人应当对什么负责？
holdout1,CONF_Q037,1,1,1,1,True,False,False,CLEAN,根据《中华人民共和国疫苗管理法》，疫苗上市许可持有人应当加强疫苗全生命周期质量管理，并对疫苗的哪些方面负责？
holdout1,CONF_Q038,1,1,1,1,True,False,False,CLEAN,根据《艾滋病防治条例》，标准防护原则是指什么？
